player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Chris Grier,Charleston Southern,BSth,26,22.6,0,34.4396,2.2308
Robert Thurman,California,P10,10,2.1,0,6.32625,0.3
J.J. Mann,Belmont,ASun,35,38.6,0,106736,5.9714
Alfonso Costa,Yale,Ivy,2,0.2,0,0.19421,0
Will Bartlett,Yale,Ivy,5,0.6,0,0.756493,0
Allen Crabbe,California,P10,31,78,5,193591,13.3548
Richard Solomon,California,P10,33,38.4,19,123112,5.5758
Emerson Murray,California,P10,30,16.5,0,31.9975,1.0333
Reid Koenen,Texas St.,Slnd,18,7.3,1,14.2524,1
Bubu Palo,Iowa St.,B12,32,34.7,0,81.8092,3375
Max Rockmann,UMKC,Sum,28,49.5,0,81.5144,4.6071
Zack Leahy,Toledo,MAC,29,42.8,0,86.2895,4.8966
Michael Gholston Jr.,UMKC,Sum,29,28.5,0,43.2439,2.4483
Tim Morton,Oral Roberts,Sum,27,15.5,0,35.4995,1.6296
J.T. Thomas,Toledo,MAC,18,36,0,69.2933,4.3333
Tyler Neal,Oklahoma,B12,25,25,2,53.0397,4.36
Carl Blair,Oklahoma,B12,29,64,0,134902,7.4138
Abdul Ahmed,Oklahoma,B12,1,0.2,,0.185609,0
Calvin Newell,Oklahoma,B12,30,30,0,57.3411,3.4333
Maurice Barrow,Fairfield,MAAC,33,63,3,163449,6.2424
Cameron Clark,Oklahoma,B12,31,83.8,18,166.17,9.4516
Andrew Mitchell,Iowa St.,B12,8,0.7,0,1.32998,0
Keith Matthews,Fairfield,MAAC,33,26.4,5,62.2925,3.0303
Kristian Petric,Fairfield,MAAC,10,0.8,0,1.94661,0
Austin McBeth,Iowa St.,B12,5,0.4,,0.492922,0
Scott Stucky,Air Force,MWC,2,0.9,0,0.935117,2
Aaron Anderson,Kennesaw St.,ASun,30,66.8,12,141961,6.1
Roy Devyn Marble,Iowa,B10,31,47.4,0,100627,5.7419
Melsahn Basabe,Iowa,B10,31,60.7,17,151014,11.0323
Russ Smith,Louisville,BE,17,6.7,0,24553,2.2353
T.J. Sayre,Iowa,B10,2,0.6,0,2.76825,1
Branden Stubbs,Iowa,B10,4,1.2,0,2.81868,3
Zach McCabe,Iowa,B10,31,48.6,0,111709,5.7742
Mari Konate,McNeese St.,Slnd,24,15.6,2,28.9962,1.0833
